title,author,price,price (including used books),pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,dimensions,weight,language,publisher,ISBN_13,link,complete_link
Python for Finance: Mastering Data-Driven Finance,[ Yves Hilpisch],65.05, 58.51 - 65.05 ,720,4.6,268,77%,14%,5%,2%,2%,7 x 1.6 x 9.1 inches,2.27 pounds,English,O'Reilly Media,978-1492024330,/Python-Finance-Mastering-Data-Driven/dp/1492024333/ref=sr_1_191?keywords=python&qid=1671164918&sr=8-191,https://www.amazon.com/Python-Finance-Mastering-Data-Driven/dp/1492024333/ref=sr_1_191?keywords=python&qid=1671164918&sr=8-191
Speed Up Your Python with Rust: Optimize Python performance by creating Python pip modules in Rust with PyO3,[ Maxwell Flitton],41.99,41.99,384,4.8,12,78%,22%,,,,7.5 x 0.87 x 9.25 inches,1.46 pounds,English,Packt Publishing , ,/Speed-Your-Python-Rust-performance/dp/180181144X/ref=sr_1_188?keywords=python&qid=1671164918&sr=8-188,https://www.amazon.com/Speed-Your-Python-Rust-performance/dp/180181144X/ref=sr_1_188?keywords=python&qid=1671164918&sr=8-188
"Python Flash Cards: Syntax, Concepts, and Examples",[ Eric Matthes],27.95,27.95,101,4.7,406,78%,14%,5%,1%,1%,5.5 x 2 x 7.5 inches,2.25 pounds,English,No Starch Press,978-1593278960,/Python-Flash-Cards-Concepts-Examples/dp/1593278969/ref=sr_1_187?keywords=python&qid=1671164918&sr=8-187,https://www.amazon.com/Python-Flash-Cards-Concepts-Examples/dp/1593278969/ref=sr_1_187?keywords=python&qid=1671164918&sr=8-187
Reticulated Pythons: A complete guide to care and husbandry,"[ Sid James, Ben Way, et al.]",29,29,130,4.7,66,81%,16%,4%,,,6.14 x 0.5 x 9.21 inches,15.3 ounces,English,Andrew James ,978-1916499706,/Reticulated-Pythons-complete-guide-husbandry/dp/1916499708/ref=sr_1_189?keywords=python&qid=1671164918&sr=8-189,https://www.amazon.com/Reticulated-Pythons-complete-guide-husbandry/dp/1916499708/ref=sr_1_189?keywords=python&qid=1671164918&sr=8-189
"Python for RTL Verification: A complete course in Python, cocotb, and pyuvm",[ Ray Salemi],44.95,44.95,343,4.5,12,77%,11%,12%,,,8.5 x 0.78 x 11 inches,1.76 pounds,English,Independently published , ,/Python-RTL-Verification-complete-course/dp/B0BCZ1JM3P/ref=sr_1_184?keywords=python&qid=1671164918&sr=8-184,https://www.amazon.com/Python-RTL-Verification-complete-course/dp/B0BCZ1JM3P/ref=sr_1_184?keywords=python&qid=1671164918&sr=8-184
Learn to Program with Minecraft: Transform Your World with the Power of Python,[ Craig Richardson],29.05,29.05,336,4.4,303,68%,15%,8%,4%,4%,7.06 x 0.78 x 9.31 inches,1.65 pounds,English,No Starch Press, ,/Learn-Program-Minecraft-Transform-Python/dp/1593276702/ref=sr_1_185?keywords=python&qid=1671164918&sr=8-185,https://www.amazon.com/Learn-Program-Minecraft-Transform-Python/dp/1593276702/ref=sr_1_185?keywords=python&qid=1671164918&sr=8-185
A Student's Guide to Python for Physical Modeling: Updated Edition,"[ Jesse M. Kinder,  and , Philip Nelson]",4.95, 7.03 - 24.95 ,168,4.5,87,72%,16%,6%,3%,2%,8 x 0.5 x 10 inches,15 ounces,English,Princeton University Press,978-0691180571,/Students-Guide-Python-Physical-Modeling/dp/0691180571/ref=sr_1_183?keywords=python&qid=1671164918&sr=8-183,https://www.amazon.com/Students-Guide-Python-Physical-Modeling/dp/0691180571/ref=sr_1_183?keywords=python&qid=1671164918&sr=8-183
"Functional Python Programming: Use a functional approach to write succinct, expressive, and efficient Python code, 3rd Edition",[ Steven F. Lott],32.99,32.99,,5,2,100%,,,,,,,English,Packt Publishing ,,/Functional-Python-Programming-functional-expressive-ebook/dp/B0B1N4PLL5/ref=sr_1_181?keywords=python&qid=1671164918&sr=8-181,https://www.amazon.com/Functional-Python-Programming-functional-expressive-ebook/dp/B0B1N4PLL5/ref=sr_1_181?keywords=python&qid=1671164918&sr=8-181
Mathematical Logic through Python,[ Gonczarowski Yannai A.],36.5, 29.99 - 36.50 ,284,5,6,100%,,,,,7 x 0.64 x 10 inches,1.34 pounds,English,Cambridge University Press,978-1108949477,/Mathematical-through-Python-Yannai-Gonczarowski/dp/1108949479/ref=sr_1_182?keywords=python&qid=1671164918&sr=8-182,https://www.amazon.com/Mathematical-through-Python-Yannai-Gonczarowski/dp/1108949479/ref=sr_1_182?keywords=python&qid=1671164918&sr=8-182
"Colt's Python, King of the Seven Serpents",[ Gurney Brown],,,304,4.7,71,85%,7%,5%,2%,,,4.61 pounds,English,Blue Book Publications ,978-1936120994,/Colts-Python-King-Seven-Serpents/dp/1936120992/ref=sr_1_250?keywords=python&qid=1671164927&sr=8-250,https://www.amazon.com/Colts-Python-King-Seven-Serpents/dp/1936120992/ref=sr_1_250?keywords=python&qid=1671164927&sr=8-250
Mega Python vs. Gatoroid,,9.23,9.23,,4.3,238,67%,18%,3%,5%,7%,0.7 x 5.4 x 7.5 inches; 2.72 Ounces,,,,,/Mega-Python-Gatoroid-Debbie-Gibson/dp/B004QDW2CQ/ref=sr_1_251?keywords=python&qid=1671164927&sr=8-251,https://www.amazon.com/Mega-Python-Gatoroid-Debbie-Gibson/dp/B004QDW2CQ/ref=sr_1_251?keywords=python&qid=1671164927&sr=8-251
"Python Programming for Beginners: An Introduction to the Python Computer Language and Computer Programming (Python, Python 3, Python Tutorial)",[ Jason Cannon],,,164,4.5,"1,001",72%,15%,8%,3%,2%,,,English,,,/Python-Programming-Beginners-Introduction-Computer-ebook/dp/B00N4IQRD4/ref=sr_1_249?keywords=python&qid=1671164927&sr=8-249,https://www.amazon.com/Python-Programming-Beginners-Introduction-Computer-ebook/dp/B00N4IQRD4/ref=sr_1_249?keywords=python&qid=1671164927&sr=8-249
Deep Learning from Scratch: Building with Python from First Principles,[ Seth Weidman],38.99,38.99,252,4.3,84,63%,20%,8%,4%,5%,7 x 0.53 x 9.19 inches,14.4 ounces,English,O'Reilly Media,978-9352139026,/Deep-Learning-Scratch-Building-Principles/dp/1492041416/ref=sr_1_248?keywords=python&qid=1671164927&sr=8-248,https://www.amazon.com/Deep-Learning-Scratch-Building-Principles/dp/1492041416/ref=sr_1_248?keywords=python&qid=1671164927&sr=8-248
"Practical Python Programming for IoT: Build advanced IoT projects using a Raspberry Pi 4, MQTT, RESTful APIs, WebSockets, and Python 3",[ Gary Smart],39.99,39.99,516,4.5,53,65%,26%,4%,3%,3%,7.5 x 1.17 x 9.25 inches,1.93 pounds,English,Packt Publishing , ,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A10250541713BCQ7J8PYK&qualifier=1671164918&id=8372628233594429&widgetName=sp_mtf&url=%2FPractical-Python-Programming-IoT-WebSockets%2Fdp%2F1838982469%2Fref%3Dsr_1_180_sspa%3Fkeywords%3Dpython%26qid%3D1671164918%26sr%3D8-180-spons%26psc%3D1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A10250541713BCQ7J8PYK&qualifier=1671164918&id=8372628233594429&widgetName=sp_mtf&url=%2FPractical-Python-Programming-IoT-WebSockets%2Fdp%2F1838982469%2Fref%3Dsr_1_180_sspa%3Fkeywords%3Dpython%26qid%3D1671164918%26sr%3D8-180-spons%26psc%3D1
Modern Computer Vision with PyTorch: Explore deep learning concepts and implement over 50 real-world image applications,"[ V Kishore Ayyadevara,  and , Yeshwanth Reddy]",48.84,48.84,824,4.6,56,81%,11%,3%,6%,,7.5 x 1.86 x 9.25 inches,3.06 pounds,English,Packt Publishing ,978-1839213472,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A04293192DSFDADI165KD&qualifier=1671164918&id=8372628233594429&widgetName=sp_mtf&url=%2FModern-Computer-Vision-PyTorch-applications%2Fdp%2F1839213477%2Fref%3Dsr_1_178_sspa%3Fkeywords%3Dpython%26qid%3D1671164918%26sr%3D8-178-spons%26psc%3D1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A04293192DSFDADI165KD&qualifier=1671164918&id=8372628233594429&widgetName=sp_mtf&url=%2FModern-Computer-Vision-PyTorch-applications%2Fdp%2F1839213477%2Fref%3Dsr_1_178_sspa%3Fkeywords%3Dpython%26qid%3D1671164918%26sr%3D8-178-spons%26psc%3D1
The Gunfather Restorations - Season 1,,,,,,,,,,,,,,,,,/Toms-Colt-Python/dp/B0B71BVQ3B/ref=sr_1_242?keywords=python&qid=1671164927&sr=8-242,https://www.amazon.com/Toms-Colt-Python/dp/B0B71BVQ3B/ref=sr_1_242?keywords=python&qid=1671164927&sr=8-242
"Python Feature Engineering Cookbook: Over 70 recipes for creating, engineering, and transforming features to build machine learning models, 2nd Edition",[ Soledad Galli],61.24, 44.99 - 61.24 ,386,5,1,100%,,,,,7.5 x 0.87 x 9.25 inches,1.46 pounds,English,Packt Publishing , ,/Python-Feature-Engineering-Cookbook-transforming/dp/1804611301/ref=sr_1_247?keywords=python&qid=1671164927&sr=8-247,https://www.amazon.com/Python-Feature-Engineering-Cookbook-transforming/dp/1804611301/ref=sr_1_247?keywords=python&qid=1671164927&sr=8-247
Data Visualization with Python and JavaScript,[ Kyran Dale],56.99,56.99,864,,,,,,,,,,English,O'Reilly Media,,/Data-Visualization-Python-JavaScript-Kyran-ebook/dp/B0BPF4H7FZ/ref=sr_1_245?keywords=python&qid=1671164927&sr=8-245,https://www.amazon.com/Data-Visualization-Python-JavaScript-Kyran-ebook/dp/B0BPF4H7FZ/ref=sr_1_245?keywords=python&qid=1671164927&sr=8-245
Modern Time Series Forecasting with Python: Explore industry-ready time series forecasting using modern machine learning and deep learning,[ Manu Joseph],44.99,44.99,552,5,2,100%,,,,,7.5 x 1.25 x 9.25 inches,2.07 pounds,English,Packt Publishing ,978-1803246802,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A05576263RIE78WQ9ISQM&qualifier=1671164918&id=8372628233594429&widgetName=sp_mtf&url=%2FModern-Time-Forecasting-Python-industry-ready%2Fdp%2F1803246804%2Fref%3Dsr_1_177_sspa%3Fkeywords%3Dpython%26qid%3D1671164918%26sr%3D8-177-spons%26psc%3D1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A05576263RIE78WQ9ISQM&qualifier=1671164918&id=8372628233594429&widgetName=sp_mtf&url=%2FModern-Time-Forecasting-Python-industry-ready%2Fdp%2F1803246804%2Fref%3Dsr_1_177_sspa%3Fkeywords%3Dpython%26qid%3D1671164918%26sr%3D8-177-spons%26psc%3D1
The Hitchhiker's Guide to Python: Best Practices for Development,"[ Kenneth Reitz,  and , Tanya Schlusser]",24.99, 10.75 - 24.99 ,336,4.4,132,66%,16%,13%,3%,3%,6.9 x 0.77 x 9.1 inches,1.3 pounds,English,O'Reilly Media,978-1491933176,/Hitchhikers-Guide-Python-Practices-Development/dp/1491933178/ref=sr_1_246?keywords=python&qid=1671164927&sr=8-246,https://www.amazon.com/Hitchhikers-Guide-Python-Practices-Development/dp/1491933178/ref=sr_1_246?keywords=python&qid=1671164927&sr=8-246
A Smarter Way to Learn Python: Learn it faster. Remember it longer.,[ Mark Myers],19.95, 14.62 - 19.95 ,236,4.6,"1,068",76%,14%,7%,2%,2%,7 x 0.5 x 10 inches,14.7 ounces,English,CreateSpace Independent Publishing Platform ,978-1974431472,/Smarter-Way-Learn-Python-Remember/dp/1974431479/ref=sr_1_244?keywords=python&qid=1671164927&sr=8-244,https://www.amazon.com/Smarter-Way-Learn-Python-Remember/dp/1974431479/ref=sr_1_244?keywords=python&qid=1671164927&sr=8-244
"Math for Programmers: 3D graphics, machine learning, and simulations with Python",[ Paul Orland],40.84, 34.75 - 40.84 ,688,4.5,65,72%,13%,8%,3%,5%,7.38 x 1 x 9.25 inches,2.73 pounds,English,Manning,978-1617295355,/Math-Programmers-Paul-Orland/dp/1617295353/ref=sr_1_243?keywords=python&qid=1671164927&sr=8-243,https://www.amazon.com/Math-Programmers-Paul-Orland/dp/1617295353/ref=sr_1_243?keywords=python&qid=1671164927&sr=8-243
Beginning Programming with Python For Dummies,[ John Paul Mueller],24.49, 12.35 - 24.49 ,416,4.4,279,65%,19%,7%,4%,5%,7.3 x 1 x 9.2 inches,1.59 pounds,English,For Dummies, ,/Beginning-Programming-Python-Dummies-Mueller/dp/1119457890/ref=sr_1_239?keywords=python&qid=1671164927&sr=8-239,https://www.amazon.com/Beginning-Programming-Python-Dummies-Mueller/dp/1119457890/ref=sr_1_239?keywords=python&qid=1671164927&sr=8-239
The Pythons' Autobiography By The Pythons,"[ Bob McCabe, Eric Idle, et al.]",19.99,19.99,464,4.6,149,76%,15%,7%,1%,1%,5.11 x 1.31 x 7.81 inches,13.4 ounces,English,Orion,69,/Pythons-Autobiography-Graham-Chapman/dp/0752864254/ref=sr_1_241?keywords=python&qid=1671164927&sr=8-241,https://www.amazon.com/Pythons-Autobiography-Graham-Chapman/dp/0752864254/ref=sr_1_241?keywords=python&qid=1671164927&sr=8-241
Algorithms to Live By: The Computer Science of Human Decisions,"[ Brian Christian, Tom Griffiths, et al.]",,,,4.5,"3,310",70%,17%,8%,2%,2%,,,,,,/Algorithms-to-Live-By-audiobook/dp/B01D24NAL6/ref=sr_1_240?keywords=python&qid=1671164927&sr=8-240,https://www.amazon.com/Algorithms-to-Live-By-audiobook/dp/B01D24NAL6/ref=sr_1_240?keywords=python&qid=1671164927&sr=8-240
"Microsoft Python Certification Exam 98-281 & PCEP – Preparation Guide: Introduction To Programming Using Python, PCEP – Certified Entry Level Python Programmer","[ Raman Publications, R Raman, et al.]",19.99,19.99,151,3.9,18,59%,13%,15%,13%,,8.5 x 0.35 x 11 inches,13 ounces,This Python programming guide assumes certain level of programming knowledge. It is not a beginner textbook.,Independently published ,979-8589463590,/Microsoft-Python-Certification-Exam-98-281/dp/B08T775YFT/ref=sr_1_238?keywords=python&qid=1671164927&sr=8-238,https://www.amazon.com/Microsoft-Python-Certification-Exam-98-281/dp/B08T775YFT/ref=sr_1_238?keywords=python&qid=1671164927&sr=8-238
Ultimate Step by Step Guide to Machine Learning Using Python: Predictive modelling concepts explained in simple terms for beginners,,,,70,4.2,271,62%,15%,12%,5%,6%,,,English,,,/Ultimate-Guide-Machine-Learning-Python-ebook/dp/B084WGCMG1/ref=sr_1_236?keywords=python&qid=1671164927&sr=8-236,https://www.amazon.com/Ultimate-Guide-Machine-Learning-Python-ebook/dp/B084WGCMG1/ref=sr_1_236?keywords=python&qid=1671164927&sr=8-236
"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems",[ Aurélien Géron],57.49,57.49,856,4.8,"3,129",85%,10%,3%,1%,2%,7 x 1.2 x 9.2 inches,2.8 pounds,English,O'Reilly Media,978-1492032649,/Hands-Machine-Learning-Scikit-Learn-TensorFlow/dp/1492032646/ref=sr_1_234?keywords=python&qid=1671164927&sr=8-234,https://www.amazon.com/Hands-Machine-Learning-Scikit-Learn-TensorFlow/dp/1492032646/ref=sr_1_234?keywords=python&qid=1671164927&sr=8-234
"Creative Coding in Python: 30+ Programming Projects in Art, Games, and More",[ Sheena Vaidyanathan],19.89,19.89,144,4.6,315,78%,12%,8%,3%,,8.4 x 0.75 x 9.55 inches,3.53 ounces,English,Quarry Books,29,/Creative-Coding-Python-Programming-Projects/dp/1631595814/ref=sr_1_237?keywords=python&qid=1671164927&sr=8-237,https://www.amazon.com/Creative-Coding-Python-Programming-Projects/dp/1631595814/ref=sr_1_237?keywords=python&qid=1671164927&sr=8-237
Aprende Python en un fin de semana (Spanish Edition),,10.04,10.04,174,4.4,594,64%,22%,10%,3%,2%,5.5 x 0.4 x 8.5 inches,9.2 ounces,Spanish,Independently published ,978-1719884839,/Aprende-Python-fin-semana-Spanish/dp/1719884838/ref=sr_1_233?keywords=python&qid=1671164927&sr=8-233,https://www.amazon.com/Aprende-Python-fin-semana-Spanish/dp/1719884838/ref=sr_1_233?keywords=python&qid=1671164927&sr=8-233
Python Aplicado (Spanish Edition),[ Eugenia Bahit],39.99,39.99,286,5,2,100%,,,,,5.83 x 0.6 x 8.27 inches,12.2 ounces,Spanish,Ebrc Publisher,978-1838190187,/Python-Aplicado-Spanish-Eugenia-Bahit/dp/183819018X/ref=sr_1_231?keywords=python&qid=1671164927&sr=8-231,https://www.amazon.com/Python-Aplicado-Spanish-Eugenia-Bahit/dp/183819018X/ref=sr_1_231?keywords=python&qid=1671164927&sr=8-231
Black Hat Python: Python Programming for Hackers and Pentesters,[ Justin Seitz],34.95, 16.30 - 34.95 ,192,4.6,505,76%,14%,5%,3%,2%,6.94 x 0.51 x 9.25 inches,15.2 ounces,English,No Starch Press,978-1593275907,/Black-Hat-Python-Programming-Pentesters/dp/1593275900/ref=sr_1_232?keywords=python&qid=1671164927&sr=8-232,https://www.amazon.com/Black-Hat-Python-Programming-Pentesters/dp/1593275900/ref=sr_1_232?keywords=python&qid=1671164927&sr=8-232
"Mastering Python Networking: Utilize Python packages and frameworks for network automation, monitoring, cloud, and management, 4th Edition",[ Eric Chou],35.99,35.99,,,,,,,,,,,English,Packt Publishing ,,/Mastering-Python-Networking-frameworks-automation-ebook/dp/B0BLHJFK9G/ref=sr_1_229?keywords=python&qid=1671164927&sr=8-229,https://www.amazon.com/Mastering-Python-Networking-frameworks-automation-ebook/dp/B0BLHJFK9G/ref=sr_1_229?keywords=python&qid=1671164927&sr=8-229
The Art of Clean Code: Best Practices to Eliminate Complexity and Simplify Your Life,[ Christian Mayer],22.99,22.99,176,4.4,4,70%,30%,,,,7 x 0.55 x 9.25 inches,13 ounces,English,No Starch Press ,978-1718502185,/Art-Clean-Code-Practices-Complexity/dp/1718502184/ref=sr_1_230?keywords=python&qid=1671164927&sr=8-230,https://www.amazon.com/Art-Clean-Code-Practices-Complexity/dp/1718502184/ref=sr_1_230?keywords=python&qid=1671164927&sr=8-230
Python For Beginner: 24 Hours with Python: How to Learn Python Program in 24 Hours,[ tony snake],,,440,,,,,,,,,,English,,,/Python-Beginner-Hours-Learn-Program-ebook/dp/B0BL3VMR83/ref=sr_1_298?keywords=python&qid=1671164936&sr=8-298,https://www.amazon.com/Python-Beginner-Hours-Learn-Program-ebook/dp/B0BL3VMR83/ref=sr_1_298?keywords=python&qid=1671164936&sr=8-298
Python Newbies: 55 Hand-Picked Resources to Get Started Quickly,[ Raven Black],,,10,,,,,,,,,,English,,,/Python-Newbies-Hand-Picked-Resources-Started-ebook/dp/B0BPPTFZ95/ref=sr_1_295?keywords=python&qid=1671164936&sr=8-295,https://www.amazon.com/Python-Newbies-Hand-Picked-Resources-Started-ebook/dp/B0BPPTFZ95/ref=sr_1_295?keywords=python&qid=1671164936&sr=8-295
Problem Solving with Algorithms and Data Structures Using Python SECOND EDITION,"[ Bradley N. Miller,  and , David L. Ranum]",42.75, 40.80 - 42.75 ,438,4.5,145,73%,17%,4%,1%,4%,7.5 x 0.9 x 9.2 inches,1.7 pounds,English,"Franklin, Beedle & Associates", ,/Problem-Solving-Algorithms-Structures-Python/dp/1590282574/ref=sr_1_296?keywords=python&qid=1671164936&sr=8-296,https://www.amazon.com/Problem-Solving-Algorithms-Structures-Python/dp/1590282574/ref=sr_1_296?keywords=python&qid=1671164936&sr=8-296
Quantum Chemistry and Computing for the Curious: Illustrated with Python and Qiskit® code,"[ Keeper L. Sharkey, Alain Chance, et al.]",47.99,47.99,354,4.8,16,80%,20%,,,,7.5 x 0.84 x 9.25 inches,1.34 pounds,English,Packt Publishing , ,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_1?ie=UTF8&adId=A0534003I2EA3RM516YD&qualifier=1671164927&id=6244678831365742&widgetName=sp_mtf&url=%2FQuantum-Chemistry-Computing-Curious-Illustrated%2Fdp%2F1803243902%2Fref%3Dsr_1_228_sspa%3Fkeywords%3Dpython%26qid%3D1671164927%26sr%3D8-228-spons%26psc%3D1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_1?ie=UTF8&adId=A0534003I2EA3RM516YD&qualifier=1671164927&id=6244678831365742&widgetName=sp_mtf&url=%2FQuantum-Chemistry-Computing-Curious-Illustrated%2Fdp%2F1803243902%2Fref%3Dsr_1_228_sspa%3Fkeywords%3Dpython%26qid%3D1671164927%26sr%3D8-228-spons%26psc%3D1
"Bioinformatics with Python Cookbook: Use modern Python libraries and applications to solve real-world computational biology problems, 3rd Edition",[ Tiago Antao],54.99,54.99,360,4.4,7,62%,19%,19%,,,7.5 x 0.82 x 9.25 inches,1.37 pounds,English,Packt Publishing, ,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_1?ie=UTF8&adId=A08682943C3VU0JF3GC5M&qualifier=1671164927&id=6244678831365742&widgetName=sp_mtf&url=%2FBioinformatics-Python-Cookbook-applications-computational%2Fdp%2F1803236426%2Fref%3Dsr_1_227_sspa%3Fkeywords%3Dpython%26qid%3D1671164927%26sr%3D8-227-spons%26psc%3D1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_1?ie=UTF8&adId=A08682943C3VU0JF3GC5M&qualifier=1671164927&id=6244678831365742&widgetName=sp_mtf&url=%2FBioinformatics-Python-Cookbook-applications-computational%2Fdp%2F1803236426%2Fref%3Dsr_1_227_sspa%3Fkeywords%3Dpython%26qid%3D1671164927%26sr%3D8-227-spons%26psc%3D1
Boas and Pythons of the World,"[ ""Mark OShea""]",16.22,16.22,160,4.6,33,79%,16%,5%,,,7.57 x 0.53 x 9.61 inches,1.33 pounds,English,Princeton University Press ,978-0691150154,/Boas-Pythons-World-Mark-OShea/dp/069115015X/ref=sr_1_294?keywords=python&qid=1671164936&sr=8-294,https://www.amazon.com/Boas-Pythons-World-Mark-OShea/dp/069115015X/ref=sr_1_294?keywords=python&qid=1671164936&sr=8-294
Into Thin Air: Death On Everest,,,,,,,,,,,,,,,,,/Into-Thin-Air-Death-Everest/dp/B09JFFNP29/ref=sr_1_288?keywords=python&qid=1671164936&sr=8-288,https://www.amazon.com/Into-Thin-Air-Death-Everest/dp/B09JFFNP29/ref=sr_1_288?keywords=python&qid=1671164936&sr=8-288
Scala 3 Programming for Beginners: An Introduction to Learn the Scala 3 Programming Language with Tutorials and Hands-On Examples,[ Nathan Metzler],8.99,8.99,176,,,,,,,,6 x 0.4 x 9 inches,11.4 ounces,Scroll to the top of the page and click the ,Independently published ,979-8782427801,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_1?ie=UTF8&adId=A0403021R2PV07DRKJHE&qualifier=1671164927&id=6244678831365742&widgetName=sp_mtf&url=%2FScala-Programming-Beginners-Introduction-Hands%2Fdp%2FB09NRBVGQ5%2Fref%3Dsr_1_226_sspa%3Fkeywords%3Dpython%26qid%3D1671164927%26sr%3D8-226-spons%26psc%3D1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_1?ie=UTF8&adId=A0403021R2PV07DRKJHE&qualifier=1671164927&id=6244678831365742&widgetName=sp_mtf&url=%2FScala-Programming-Beginners-Introduction-Hands%2Fdp%2FB09NRBVGQ5%2Fref%3Dsr_1_226_sspa%3Fkeywords%3Dpython%26qid%3D1671164927%26sr%3D8-226-spons%26psc%3D1
